Server Name,Feed Name,Session Name,Channel,Customer,Multicast Group,Switch IP,Interface
VN-NY4-SP-2,cts,A-11,A,Victory Networks,233.200.79.138,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-11,A,Victory Networks,233.200.79.138,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,A-12,A,Victory Networks,233.200.79.139,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-12,A,Victory Networks,233.200.79.139,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-12,A,Victory Networks,233.200.79.139,10.75.128.11,Et15
VN-NY4-CAP-2-eth6,not-found,not-found,not-found,Victory Networks,233.200.79.140,10.75.128.9,Et15
VN-NY4-TP-4-p3p1,cts,B-1,A,Victory Networks,233.200.79.144,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cts,B-1,A,Victory Networks,233.200.79.144,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cts,B-1,A,Victory Networks,233.200.79.144,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,B-2,A,Victory Networks,233.200.79.145,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cts,B-2,A,Victory Networks,233.200.79.145,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cts,B-2,A,Victory Networks,233.200.79.145,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,B-3,A,Victory Networks,233.200.79.146,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cts,B-3,A,Victory Networks,233.200.79.146,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cts,B-3,A,Victory Networks,233.200.79.146,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cts,B-4,A,Victory Networks,233.200.79.147,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cts,B-4,A,Victory Networks,233.200.79.147,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cts,B-4,A,Victory Networks,233.200.79.147,10.75.128.9,Et30
VN-NY4-TP-4-p3p1,cts,B-5,A,Victory Networks,233.200.79.148,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cts,B-5,A,Victory Networks,233.200.79.148,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cts,B-5,A,Victory Networks,233.200.79.148,10.75.128.9,Et30
VN-NY4-TP-4-p3p1,cts,B-6,A,Victory Networks,233.200.79.149,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cts,B-6,A,Victory Networks,233.200.79.149,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cts,B-6,A,Victory Networks,233.200.79.149,10.75.128.9,Et30
VN-NY4-TP-4-p2p2,cts,B-7,A,Victory Networks,233.200.79.150,10.75.128.9,Et9
VN-NY4-TP-5-p2p1,cts,B-7,A,Victory Networks,233.200.79.150,10.75.128.9,Et13
VN-NY4-SANDBOX-2,cts,B-7,A,Victory Networks,233.200.79.150,10.75.128.9,Et30
VN-NY4-TP-4-p2p2,cts,B-8,A,Victory Networks,233.200.79.151,10.75.128.9,Et9
VN-NY4-TP-5-p2p1,cts,B-8,A,Victory Networks,233.200.79.151,10.75.128.9,Et13
VN-NY4-SANDBOX-2,cts,B-8,A,Victory Networks,233.200.79.151,10.75.128.9,Et30
VN-NY4-TP-4-p2p2,cts,B-9,A,Victory Networks,233.200.79.152,10.75.128.9,Et9
VN-NY4-TP-5-p2p1,cts,B-9,A,Victory Networks,233.200.79.152,10.75.128.9,Et13
VN-NY4-SANDBOX-2,cts,B-9,A,Victory Networks,233.200.79.152,10.75.128.9,Et30
VN-NY4-TP-4-p1p1,cts,B-10,A,Victory Networks,233.200.79.153,10.75.128.9,Et8
VN-NY4-TP-5-eth4,cts,B-10,A,Victory Networks,233.200.79.153,10.75.128.9,Et16
VN-NY4-SANDBOX-2,cts,B-10,A,Victory Networks,233.200.79.153,10.75.128.9,Et30
VN-NY4-TP-4-p1p1,cts,B-11,A,Victory Networks,233.200.79.154,10.75.128.9,Et8
VN-NY4-TP-5-eth4,cts,B-11,A,Victory Networks,233.200.79.154,10.75.128.9,Et16
VN-NY4-SANDBOX-2,cts,B-11,A,Victory Networks,233.200.79.154,10.75.128.9,Et30
VN-NY4-TP-4-p1p1,cts,B-12,A,Victory Networks,233.200.79.155,10.75.128.9,Et8
VN-NY4-TP-5-eth4,cts,B-12,A,Victory Networks,233.200.79.155,10.75.128.9,Et16
VN-NY4-SANDBOX-2,cts,B-12,A,Victory Networks,233.200.79.155,10.75.128.9,Et30
VN-NY4-CAP-2-eth6,not-found,not-found,not-found,Victory Networks,233.200.79.156,10.75.128.9,Et15
VN-NY4-CAP-2-eth6,not-found,not-found,not-found,Victory Networks,233.200.79.157,10.75.128.9,Et15
VN-NY4-TP-4-p3p1,cqs,F-1,A,Victory Networks,233.200.79.16,10.75.128.9,Et10
VN-NY4-TP-5-p5p1,cqs,F-1,A,Victory Networks,233.200.79.16,10.75.128.9,Et25
VN-NY4-SANDBOX-2,cqs,F-1,A,Victory Networks,233.200.79.16,10.75.128.11,Et15
VN-NY4-TP-4-p3p2,cts,A-1,B,Victory Networks,233.200.79.160,10.75.128.4,Et34
VN-NY4-CAP-2-eth7,cts,A-1,B,Victory Networks,233.200.79.160,10.75.128.4,Et37
VN-NY4-TP-5-eth1,cts,A-1,B,Victory Networks,233.200.79.160,10.75.128.4,Et44
VN-NY4-SANDBOX-2,cts,A-1,B,Victory Networks,233.200.79.160,10.75.128.11,Et13
